stars,comment
4.0 out of 5 stars,"







  
  
    I simply bought these for my 6 yr old grandson. He picked them out.  He's not into having expensive cards but simply likes to collect.  He's quite happy with them.
  
"
5.0 out of 5 stars,"







  
  
    Wonderful collection ; excellent quality.  My little one has read this collection 3 times already!
  
"
4.0 out of 5 stars,"







  
  
    Grandson was very pleased.
  
"
1.0 out of 5 stars,"







  
  
    100% resealed packs,  3 purchases and no pull with random cards from varying years
  
"
1.0 out of 5 stars,"







  
  
    Definitely weighted packs. Nothing good. Don't bother if you're a collector
  
"
5.0 out of 5 stars,"







  
  
    Seem like legit Pokémon cards. Doesn’t look like anyone tampered with the packaging. I would definitely recommend this seller.
  
"
1.0 out of 5 stars,"







  
  
    The dimension mentioned on the website does not match the item. It is much better to buy at officially authorized local store even at a cheaper price. Not recommended
  
"
5.0 out of 5 stars,"







  
  
    Packaging was very sus and looked to be resealed. I got 6 packs and got 2 halo and a umbreon vmax. Packaging could be factory mistake as why packs are only 5$ each which is very fair. Def worth the buy. Seller was Luigi Cards. 10/10
  
"
1.0 out of 5 stars,"







  
  
    He didn’t get any special card on them
  
"
5.0 out of 5 stars,"







  
  
    Kids loved the card packs
  
"
1.0 out of 5 stars,"







  
  
    Bought as gift but are VERY obviously resealed so nothing good is going to come from them. Trash company and seller.
  
"
2.0 out of 5 stars,"







  
  
    It sais 3 back of random cards but it never said 3 random packs you may not recieved those pictured... i received all sword and shield no XY and it said 30 random cards but i recieved a celebration so its not 30 cards... false advertising, pretty disapointed to be honest
  
"
5.0 out of 5 stars,"







  
  
    Great packs of cards.  Two of the packs were out of the 'paper sleeves' but we are happy with the purchase regardless!
  
"
2.0 out of 5 stars,"







  
  
    Call it bad luck but all 3 packs did not have good cards in them.. my son is very disappointed as the packs we buy from our local dollar store always seem to have at least one holographic Pokémon in them.I chose saving money over supporting local and we paid for it…
  
"
3.0 out of 5 stars,"







  
  
    I haven't opened Any of my packs yet. There are signs of them being  Re sealed. Pictures don't do justice. The packs themselves feel loose and not normal, You can clearly see where it has been opened and re sealed. The markings of the re seals, melt marks.  Etc.
  
"
1.0 out of 5 stars,"







  
  
    The packs have been revealed, I thought so when I ordered last time, but this time I had packs from Walmart to compare, and the pack in the picture had 11 cards in it. Will not be buying again just had to be sure
  
"
5.0 out of 5 stars,"







  
  
    Great packs, there are some really good cards in them.
  
"
1.0 out of 5 stars,"







  
  
    Unfortunately, these cards are clearly not new as advertised. Even dirty in some cases… disappointing.
  
"
2.0 out of 5 stars,"







  
  
    The top and bottom lines of the packs are both uneven ( on all three packs) , one of them had glue residues on the exterior of the seal and this one alongside another one had glue residue on the inside of the seal. The pulls weren’t absolutely terrible but weren’t great either and i did get one holo per pack but that stops there. Wouldn’t recommend. Very disappointed.
  
"
3.0 out of 5 stars,"







  
  
    Of course you won't get the packs shown because as time passes they'll cycle in the newer cheaper packs. I managed to pull a full art trainer out of a chilling reign booster. However, one of the boosters seemed to be missing a code card... that same pack had a non-holo rare in it.... do with that information what you will. (I'm only leaving 3 stars because of it.)
  
"
